mjd airmass site
57009.4262357 1.3289728 coj
57009.4372041 1.2694346 coj
57009.4225868 1.3513348 coj
57009.4408606 1.2518682 coj
57009.4446941 1.2345721 coj
57009.4335502 1.2880954 coj
57009.4485062 1.2184203 coj
57009.4298945 1.3079301 coj
57009.5110171 1.0697387 coj
57009.5220004 1.0615219 coj
57009.5146836 1.0664793 coj
57009.518339 1.0637453 coj
57009.5256559 1.0598032 coj
57009.5476878 1.0599734 coj
57009.5329778 1.0578629 coj
57009.5366373 1.0576381 coj
57009.5403649 1.0579198 coj
57009.5440299 1.0586982 coj
57009.5071895 1.0736998 coj
57009.5293173 1.0585842 coj
57009.50338 1.0782196 coj
57009.4777723 1.1246774 coj
57009.4960641 1.0885654 coj
57009.4997201 1.0831143 coj
57009.4558195 1.1901968 coj
57009.4594807 1.1773593 coj
57009.463134 1.165359 coj
57009.4667942 1.1541001 coj
57009.4704545 1.1435872 coj
57009.452163 1.2038654 coj
57009.4814255 1.1162173 coj
57009.485086 1.1083945 coj
57009.4887445 1.1011915 coj
57009.4924033 1.0945878 coj
57009.4741126 1.1337839 coj
57009.6067606 1.1559757 coj
57009.6104216 1.1673437 coj
57009.5884038 1.1095493 coj
57009.617737 1.1924728 coj
57009.6140768 1.1795088 coj
57009.6360308 1.2709636 coj
57009.5810809 1.0955546 coj
57009.7062149 1.9501047 coj
57009.6803813 1.5979716 coj
57009.6436986 1.3116162 coj
57009.6323766 1.2533053 coj
57009.6287129 1.2366459 coj
57009.647354 1.3329352 coj
57009.5774186 1.0894281 coj
57009.6030977 1.1453305 coj
57009.5551015 1.0640993 coj
57009.5957835 1.1261863 coj
57009.5624283 1.0702368 coj
57009.5587604 1.0669041 coj
57009.5697616 1.078484 coj
57009.5660855 1.0740835 coj
57009.5994413 1.1354167 coj
57009.5514474 1.0618056 coj
57009.5847439 1.1022535 coj
57009.6213927 1.2062925 coj
57009.7023616 1.8854216 coj
57009.7098852 2.0168628 coj
57009.7172004 2.167278 coj
57009.7135436 2.088994 coj
57009.698707 1.8286351 coj
57009.724514 2.3459144 coj
57009.6950471 1.7758964 coj
57009.7208561 2.2526198 coj
57009.691392 1.7267817 coj
57009.6877398 1.6811122 coj
57009.6584263 1.405837 coj
57009.651013 1.3555633 coj
57009.6546745 1.3796096 coj
57009.6620849 1.4330395 coj
57009.6657426 1.4619807 coj
57009.6767253 1.5606515 coj
57009.6730621 1.5256338 coj
57009.6840846 1.6383956 coj
57009.5920599 1.1174677 coj
57009.6694025 1.4927975 coj
57009.6398849 1.2907345 coj
57009.5736084 1.083673 coj
57009.6250531 1.2210019 coj
56972.4811564 1.7452579 coj
56972.4884685 1.6544086 coj
56972.4738205 1.850293 coj
56972.4628486 2.0402696 coj
56972.4665097 1.9718805 coj
56972.4591941 2.114375 coj
56972.4921267 1.613437 coj
56972.4774972 1.7957428 coj
56972.4701635 1.908762 coj
56972.4848157 1.6982399 coj
57008.8468567 1.1083949 cpt
57008.8432023 1.1155848 cpt
57008.839532 1.1234243 cpt
57008.8358826 1.1318602 cpt
57008.7842306 1.336635 cpt
57008.8175344 1.1847105 cpt
57008.7878784 1.3155878 cpt
57008.7915368 1.2957507 cpt
57008.7951947 1.2770724 cpt
57008.8285322 1.1508662 cpt
57008.7988455 1.2595094 cpt
57008.8024998 1.2429733 cpt
57008.8248639 1.1614055 cpt
57008.8064032 1.2264165 cpt
57008.8102254 1.2111861 cpt
57008.8211911 1.1726943 cpt
57008.8138795 1.1975186 cpt
57008.8322179 1.1409828 cpt
57008.9355922 1.0970082 cpt
57008.9392554 1.1031522 cpt
57008.942906 1.1098625 cpt
57008.9502207 1.1251355 cpt
57008.8801997 1.0687296 cpt
57008.9021869 1.0660265 cpt
57008.883859 1.0670262 cpt
57008.857823 1.0903479 cpt
57008.8505106 1.1018017 cpt
57008.8911719 1.0651338 cpt
57008.8614755 1.0854656 cpt
57008.8651206 1.0811223 cpt
57008.9941662 1.2789238 cpt
57008.8948305 1.0649309 cpt
57008.9648409 1.1635316 cpt
57008.8985153 1.0652287 cpt
57008.9684996 1.1749422 cpt
57008.9980488 1.2988555 cpt
57008.924162 1.0814519 cpt
57008.9611907 1.1529092 cpt
57008.9058384 1.0673187 cpt
57008.9538737 1.1337114 cpt
57009.0458908 1.6889908 cpt
57008.9575328 1.1429642 cpt
57009.0055949 1.3415916 cpt
57009.0275932 1.5013005 cpt
57009.0019357 1.320179 cpt
57009.016598 1.4141538 cpt
57008.909484 1.0691082 cpt
57009.0129177 1.3883796 cpt
57008.9317043 1.0911006 cpt
57008.8765411 1.0709339 cpt
57008.9794745 1.2139312 cpt
57008.9831239 1.2286064 cpt
57008.9131394 1.0714056 cpt
57008.9278322 1.085862 cpt
57008.9905139 1.2612467 cpt
57008.9721559 1.1871024 cpt
57009.0092609 1.3643022 cpt
57009.0534789 1.7874103 cpt
57009.0571273 1.842031 cpt
57008.8728868 1.0736483 cpt
57009.0611341 1.9032802 cpt
57009.0650508 1.9689828 cpt
57009.0687102 2.03633 cpt
57009.0723651 2.1090888 cpt
57009.0760284 2.1882826 cpt
57009.0833598 2.369116 cpt
57008.9465664 1.1171951 cpt
57009.079706 2.2749278 cpt
57008.887519 1.0658322 cpt
57008.8690696 1.0770313 cpt
57008.8541621 1.0957982 cpt
57009.0239351 1.4704689 cpt
57009.0495521 1.7369205 cpt
57008.9167999 1.0742181 cpt
57008.9868408 1.2445278 cpt
57008.920477 1.0775656 cpt
57008.97582 1.2001063 cpt
57009.0202648 1.4414226 cpt
57009.0349108 1.5690901 cpt
57009.0312551 1.5341257 cpt
57009.0385675 1.6064089 cpt
57009.0422301 1.6463459 cpt
57009.7818217 1.3347083 cpt
57009.8408945 1.114724 cpt
57009.8445417 1.1076132 cpt
57009.848205 1.1010741 cpt
57009.7855041 1.3136089 cpt
57009.8188844 1.1713481 cpt
57009.7891562 1.2939092 cpt
57009.7928164 1.2752712 cpt
57009.8335538 1.130897 cpt
57009.796476 1.257839 cpt
57009.8001454 1.241336 cpt
57009.8298941 1.1399372 cpt
57009.804053 1.2247255 cpt
57009.8079298 1.209532 cpt
57009.826213 1.1497213 cpt
57009.8115716 1.1959932 cpt
57009.8152333 1.1832609 cpt
57009.8225476 1.1601764 cpt
57009.8372196 1.1225016 cpt
57009.9071849 1.0693524 cpt
57009.9108397 1.071711 cpt
57009.914498 1.0745809 cpt
57009.9181685 1.0779833 cpt
57009.9218305 1.0819041 cpt
57009.9478176 1.125872 cpt
57009.9293586 1.0916574 cpt
57009.9331733 1.0974937 cpt
57009.9404904 1.1104683 cpt
57009.9441688 1.1178855 cpt
57009.9035311 1.0675016 cpt
57009.9255066 1.0863808 cpt
57009.8998653 1.0661465 cpt
57009.8925455 1.0649403 cpt
57009.8518621 1.0951296 cpt
57009.8555291 1.0897338 cpt
57009.8628729 1.0805919 cpt
57010.0067491 1.3657055 cpt
57009.866725 1.076662 cpt
57010.0397234 1.6488597 cpt
57009.8962156 1.0652961 cpt
57010.0433919 1.691799 cpt
57009.8592063 1.0848795 cpt
57009.8888962 1.0650813 cpt
57009.999417 1.3214225 cpt
57010.0104078 1.3898723 cpt
57010.0287368 1.5360797 cpt
57009.9734226 1.2013222 cpt
57010.0140697 1.415587 cpt
57009.9844298 1.2459409 cpt
57010.025082 1.5031767 cpt
57010.0177316 1.4429165 cpt
57010.003094 1.3429682 cpt
57010.0360698 1.6088811 cpt
57009.9697524 1.1882345 cpt
57010.0470542 1.737696 cpt
57010.0324138 1.5713958 cpt
57009.9957692 1.3012728 cpt
57009.9770737 1.2152144 cpt
57010.0582444 1.9001528 cpt
57009.9551266 1.1438136 cpt
57009.9514754 1.1345186 cpt
57009.9624434 1.1645363 cpt
57009.9587963 1.1538328 cpt
57010.0213897 1.4719761 cpt
57009.9661016 1.1760134 cpt
